Barrio,USD_M2
AGRONOMIA,2290
ALMAGRO,3129
BALVANERA,2731
BARRACAS,2386
BELGRANO,3895
BOCA,1545
BOEDO,2832
CABALLITO,3287
CHACARITA,2663
COGHLAN,3100
COLEGIALES,3492
CONSTITUCION,1585
FLORES,2822
FLORESTA,2079
LINIERS,2747
MATADEROS,2796
MONSERRAT,2710
MONTE CASTRO,2654
NUEVA POMPEYA,1585
NUÑEZ,3745
PALERMO,3835
PARQUE AVELLANEDA,1613
PARQUE CHACABUCO,2898
PARQUE CHAS,2879
PARQUE PATRICIOS,1693
PATERNAL,2075
PUERTO MADERO,2477
RECOLETA,3967
RETIRO,3075
SAAVEDRA,3209
SAN CRISTOBAL,2332
SAN NICOLAS,2958
SAN TELMO,3061
VELEZ SARSFIELD,2649
VERSALLES,1979
VILLA CRESPO,3153
VILLA DEL PARQUE,2530
VILLA DEVOTO,3112
VILLA GENERAL MITRE,2774
VILLA LUGANO,1493
VILLA LURO,2722
VILLA ORTUZAR,2097
VILLA PUEYRREDON,2176
VILLA REAL,2200
VILLA RIACHUELO,1589
VILLA SANTA RITA,1975
VILLA SOLDATI,1142
VILLA URQUIZA,3326
